home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
Australia,Chile,0,,,0,,,Rale Rasic,Peter Wilson,Luis Alamos,Francisco Valdés,17400,"Olympiastadion, Berlin West",Jafar Namdar (Referee) · Vital Loraux (AR1) · Arie Van Gemert (AR2),First round,1974-06-22,0–0,Jafar Namdar,,Germany,1974,,,,,,,,,,,,,,,Ray Richards · 83,,,,['37&rsquor;|0:0|Ray Richards'],,"['65&rsquor;|0:0|Peter Ollerton|for Adrian Alston', '82&rsquor;|0:0|Harry Williams|for Colin Curran']","['57&rsquor;|0:0|Rogelio Farías|for Francisco Valdés', '72&rsquor;|0:0|Guillermo Yávar|for Leonardo Véliz']"
Zaire,Brazil,0,,,3,,,Blagoje Vidinic,Kidumu Mantantu,Mario Zagallo,Wilson da Silva Piazza,36200,"Parkstadion, Gelsenkirchen",Nicolae Rainea (Referee) · Aurelio Angonese (AR1) · Klaus Ohmsen (AR2),First round,1974-06-22,0–3,Nicolae Rainea,,Germany,1974,,Jairzinho · 12|Rivellino · 66|Valdomiro Vaz Franco · 79,,"['12&rsquor;|0:1|Jairzinho', '66&rsquor;|0:2|Rivellino', '79&rsquor;|0:3|Valdomiro Vaz Franco']",,,,,,,,,,,,,,,['78&rsquor;|0:2|Mwepu Ilunga'],['77&rsquor;|0:2|Mirandinha'],"['61&rsquor;|0:1|Kilasu Massamba|for Kamunda Tshinabu', '62&rsquor;|0:1|Kembo Uba Kembo|for Kidumu Mantantu']","['10&rsquor;|0:0|Valdomiro Vaz Franco|for Leivinha', '59&rsquor;|0:1|Mirandinha|for Wilson da Silva Piazza']"
Germany DR,West Germany,1,,,0,,,Georg Buschner,Bernd Bransch,Helmut Schoen,Franz Beckenbauer,60200,"Volksparkstadion, Hamburg",Ramon Barreto Ruiz (Referee) · Armando Marques (AR1) · Luis Pestarino (AR2),First round,1974-06-22,1–0,Ramon Barreto Ruiz,,Germany,1974,Jürgen Sparwasser · 77,,['77&rsquor;|1:0|Jürgen Sparwasser'],,,,,,,,,,,,,,,,"['27&rsquor;|0:0|Jürgen Sparwasser', '81&rsquor;|1:0|Jürgen Croy', '84&rsquor;|1:0|Hans-Jürgen Kreische']",,['65&rsquor;|0:0|Erich Hamann|for Harald Irmscher'],"['68&rsquor;|0:0|Horst-Dieter Höttges|for Hans-Georg Schwarzenbeck', '69&rsquor;|0:0|Günter Netzer|for Wolfgang Overath']"
Haiti,Poland,0,,,7,,,Antoine Tassy,Wilner Nazaire,Kazimierz Gorski,Kazimierz Deyna,25300,"Olympiastadion, Munich",George Suppiah (Referee) · Ferdinand Biwersi (AR1) · Walter Eschweiler (AR2),First round,1974-06-19,0–7,George Suppiah,,Germany,1974,,Grzegorz Lato · 17|Kazimierz Deyna · 18|Andrzej Szarmach · 30|Jerzy Gorgoń · 31|Andrzej Szarmach · 34|Andrzej Szarmach · 50|Grzegorz Lato · 87,,"['17&rsquor;|0:1|Grzegorz Lato', '18&rsquor;|0:2|Kazimierz Deyna', '30&rsquor;|0:3|Andrzej Szarmach', '31&rsquor;|0:4|Jerzy Gorgoń', '34&rsquor;|0:5|Andrzej Szarmach', '50&rsquor;|0:6|Andrzej Szarmach', '87&rsquor;|0:7|Grzegorz Lato']",,,,,,,,,,,,,,,['1&rsquor;|0:0|Pierre Bayonne'],,"['37&rsquor;|0:5|Claude Barthélemy|for Fritz André', '46&rsquor;|0:5|Serge Racine']","['65&rsquor;|0:6|Lesław Ćmikiewicz|for Zygmunt Maszczyk', '71&rsquor;|0:6|Zbigniew Gut|for Adam Musiał']"
Bulgaria,Uruguay,1,,,1,,,Hristo Mladenov,Hristo Bonev,Roberto Porta,Ladislao Mazurkiewicz,13400,"Niedersachsenstadion, Hanover",John Taylor (Referee) · Dogan Babacan (AR1) · Klaus Ohmsen (AR2),First round,1974-06-19,1–1,John Taylor,,Germany,1974,Hristo Bonev · 75,Ricardo Pavoni · 87,['75&rsquor;|1:0|Hristo Bonev'],['87&rsquor;|1:1|Ricardo Pavoni'],,,,,,,,,,,,,,,['9&rsquor;|0:0|Tsonyo Vasilev'],['44&rsquor;|0:0|Víctor Espárrago'],['59&rsquor;|0:0|Atanas Mihaylov|for Asparuh Nikodimov'],"['62&rsquor;|0:0|Alberto Cardaccio|for Walter Mantegazza', '73&rsquor;|0:0|Juan Carlos Masnik|for Luis Garisto']"
Netherlands,Sweden,0,,,0,,,Rinus Michels,Johan Cruyff,Georg Ericson,Bo Larsson,53700,"Westfalenstadion, Dortmund",Werner Winsemann (Referee) · Kurt Tschenscher (AR1) · Clive Thomas (AR2),First round,1974-06-19,0–0,Werner Winsemann,,Germany,1974,,,,,,,,,,,,,,,,,,,['16&rsquor;|0:0|Johnny Rep'],"['36&rsquor;|0:0|Björn Nordqvist', '68&rsquor;|0:0|Örjan Persson', '74&rsquor;|0:0|Björn Andersson', '86&rsquor;|0:0|Ove Grahn']",['73&rsquor;|0:0|Theo de Jong|for Willem van Hanegem'],"['61&rsquor;|0:0|Örjan Persson|for Staffan Tapper', '75&rsquor;|0:0|Roland Grip']"
Argentina,Italy,1,,,1,,,Vladislao Cap,Roberto Perfumo,Ferruccio Valcareggi,Giacinto Facchetti,70100,"Neckarstadion, Stuttgart",Pavel Kazakov (Referee) · Rudolf Gloeckner (AR1) · Nicolae Rainea (AR2),First round,1974-06-19,1–1,Pavel Kazakov,,Germany,1974,René Houseman · 19,,['19&rsquor;|1:0|René Houseman'],,,Roberto Perfumo (OG) · 35,,,,,,,,,,,,,['54&rsquor;|1:1|Carlos Babington'],['48&rsquor;|1:1|Romeo Benetti'],"['60&rsquor;|1:1|Rubén Glaria|for Enrique Wolff', '78&rsquor;|1:1|Enrique Chazarreta|for Héctor Yazalde']","['66&rsquor;|1:1|Giuseppe Wilson|for Francesco Morini', '66&rsquor;|1:1|Franco Causio']"
Australia,West Germany,0,,,3,,,Rale Rasic,Peter Wilson,Helmut Schoen,Franz Beckenbauer,53300,"Volksparkstadion, Hamburg",Mahmoud Kamel (Referee) · Alfonso Gonzalez Archundia (AR1) · Edison A. Perez Nunez (AR2),First round,1974-06-18,0–3,Mahmoud Kamel,,Germany,1974,,Wolfgang Overath · 12|Bernhard Cullmann · 34|Gerd Müller · 53,,"['12&rsquor;|0:1|Wolfgang Overath', '34&rsquor;|0:2|Bernhard Cullmann', '53&rsquor;|0:3|Gerd Müller']",,,,,,,,,,,,,,,['1&rsquor;|0:0|Jimmy Mackay'],,"['46&rsquor;|0:2|Attila Abonyi|for Ernie Campbell', '61&rsquor;|0:3|Peter Ollerton']","['46&rsquor;|0:2|Bernd Hölzenbein|for Jupp Heynckes', '67&rsquor;|0:3|Herbert Wimmer|for Bernhard Cullmann']"
Yugoslavia,Zaire,9,,,0,,,Miljan Miljanic,Dragan Džajić,Blagoje Vidinic,Kidumu Mantantu,31700,"Parkstadion, Gelsenkirchen",Omar Delgado (Referee) · Vicente Llobregat (AR1) · Ramon Barreto Ruiz (AR2),First round,1974-06-18,9–0,Omar Delgado,,Germany,1974,Dušan Bajević · 8|Dragan Džajić · 14|Ivica Šurjak · 18|Josip Katalinski · 22|Dušan Bajević · 30|Vladislav Bogićević · 35|Branko Oblak · 61|Ilija Petković · 65|Dušan Bajević · 81,,"['8&rsquor;|1:0|Dušan Bajević', '14&rsquor;|2:0|Dragan Džajić', '18&rsquor;|3:0|Ivica Šurjak', '22&rsquor;|4:0|Josip Katalinski', '30&rsquor;|5:0|Dušan Bajević', '35&rsquor;|6:0|Vladislav Bogićević', '61&rsquor;|7:0|Branko Oblak', '65&rsquor;|8:0|Ilija Petković', '81&rsquor;|9:0|Dušan Bajević']",,,,,,,,,,,,,Ndaye Mulamba · 23,,,['1&rsquor;|0:0|Enver Hadžiabdić'],,,"['21&rsquor;|3:0|Tubilandu Ndimbi|for Kazadi Mwamba', '46&rsquor;|6:0|Mayanga Maku|for Kakoko Etepé']"
Chile,Germany DR,1,,,1,,,Luis Alamos,Francisco Valdés,Georg Buschner,Bernd Bransch,28300,"Olympiastadion, Berlin West",Aurelio Angonese (Referee) · Ruedi Scheurer (AR1) · Bob Davidson (AR2),First round,1974-06-18,1–1,Aurelio Angonese,,Germany,1974,Sergio Ahumada · 69,Martin Hoffmann · 55,['69&rsquor;|1:1|Sergio Ahumada'],['55&rsquor;|0:1|Martin Hoffmann'],,,,,,,,,,,,,,,"['56&rsquor;|0:1|Leonardo Véliz', '60&rsquor;|0:1|Guillermo Páez']",['65&rsquor;|0:1|Gerd Kische'],"['46&rsquor;|0:0|Guillermo Yávar|for Francisco Valdés', '67&rsquor;|0:1|Rogelio Farías']","['29&rsquor;|0:0|Peter Ducke|for Wolfgang Seguin', '72&rsquor;|1:1|Hans-Jürgen Kreische|for Eberhard Vogel']"
Scotland,Brazil,0,,,0,,,Willie Ormond,Billy Bremner,Mario Zagallo,Wilson da Silva Piazza,62000,"Waldstadion, Frankfurt/Main",Arie Van Gemert (Referee) · Karoly Palotai (AR1) · Erich Linemayr (AR2),First round,1974-06-18,0–0,Arie Van Gemert,,Germany,1974,,,,,,,,,,,,,,,,,,,,"['1&rsquor;|0:0|Marinho Peres', '1&rsquor;|0:0|Marinho Chagas', '35&rsquor;|0:0|Rivellino']",,['65&rsquor;|0:0|Paulo César Carpegiani|for Leivinha']
Uruguay,Netherlands,0,,,2,,,Roberto Porta,Juan Carlos Masnik,Rinus Michels,Johan Cruyff,55100,"Niedersachsenstadion, Hanover",Karoly Palotai (Referee) · Pavel Kazakov (AR1) · Nicolae Rainea (AR2),First round,1974-06-15,0–2,Karoly Palotai,,Germany,1974,,Johnny Rep · 7|Johnny Rep · 86,,"['7&rsquor;|0:1|Johnny Rep', '86&rsquor;|0:2|Johnny Rep']",,,,,,,,,,,Julio Montero Castillo · 69,,,,"['25&rsquor;|0:1|Walter Mantegazza', '50&rsquor;|0:1|Pablo Forlán', '65&rsquor;|0:1|Juan Carlos Masnik']",,['64&rsquor;|0:1|Denís Milar|for Luis Cubilla'],
Sweden,Bulgaria,0,,,0,,,Georg Ericson,Bo Larsson,Hristo Mladenov,Hristo Bonev,23800,"Rheinstadion, Dï¿½Sseldorf",Edison A. Perez Nunez (Referee) · Alfonso Gonzalez Archundia (AR1) · George Suppiah (AR2),First round,1974-06-15,0–0,Edison A. Perez Nunez,,Germany,1974,,,,,,,,,,,,,,,,,,,,,['73&rsquor;|0:0|Benno Magnusson|for Ove Kindvall'],"['73&rsquor;|0:0|Mladen Vasilev|for Pavel Panov', '75&rsquor;|0:0|Atanas Mihaylov|for Voyn Voynov']"
Italy,Haiti,3,,,1,,,Ferruccio Valcareggi,Giacinto Facchetti,Antoine Tassy,Wilner Nazaire,53000,"Olympiastadion, Munich",Vicente Llobregat (Referee) · Jafar Namdar (AR1) · Armando Marques (AR2),First round,1974-06-15,3–1,Vicente Llobregat,,Germany,1974,Gianni Rivera · 52|Romeo Benetti · 66|Pietro Anastasi · 79,Emmanuel Sanon · 46,"['52&rsquor;|1:1|Gianni Rivera', '66&rsquor;|2:1|Romeo Benetti', '79&rsquor;|3:1|Pietro Anastasi']",['46&rsquor;|0:1|Emmanuel Sanon'],,,,,,,,,,,,,,,,['1&rsquor;|0:0|Pierre Bayonne'],['70&rsquor;|2:1|Pietro Anastasi|for Giorgio Chinaglia'],['46&rsquor;|0:1|Claude Barthélemy|for Guy Saint-Vil']
Poland,Argentina,3,,,2,,,Kazimierz Gorski,Kazimierz Deyna,Vladislao Cap,Roberto Perfumo,32700,"Neckarstadion, Stuttgart",Clive Thomas (Referee) · Heinz Aldinger (AR1) · Bob Davidson (AR2),First round,1974-06-15,3–2,Clive Thomas,,Germany,1974,Grzegorz Lato · 7|Andrzej Szarmach · 8|Grzegorz Lato · 62,Ramón Heredia · 60|Carlos Babington · 66,"['7&rsquor;|1:0|Grzegorz Lato', '8&rsquor;|2:0|Andrzej Szarmach', '62&rsquor;|3:1|Grzegorz Lato']","['60&rsquor;|2:1|Ramón Heredia', '66&rsquor;|3:2|Carlos Babington']",,,,,,,,,,,,,,,,"['1&rsquor;|0:0|Carlos Babington', '1&rsquor;|0:0|Roberto Perfumo']","['70&rsquor;|3:2|Jan Domarski|for Andrzej Szarmach', '85&rsquor;|3:2|Lesław Ćmikiewicz|for Robert Gadocha']","['45&rsquor;|2:0|René Houseman|for Miguel Ángel Brindisi', '67&rsquor;|3:2|Roberto Telch|for Ángel Bargas']"
West Germany,Chile,1,,,0,,,Helmut Schoen,Franz Beckenbauer,Luis Alamos,Francisco Valdés,81100,"Olympiastadion, Berlin West",Dogan Babacan (Referee) · John Taylor (AR1) · Werner Winsemann (AR2),First round,1974-06-14,1–0,Dogan Babacan,,Germany,1974,Paul Breitner · 18,,['18&rsquor;|1:0|Paul Breitner'],,,,,,,,,,,,,Carlos Caszely · 67,,,,"['1&rsquor;|0:0|Rolando García', '1&rsquor;|0:0|Carlos Reinoso', '13&rsquor;|0:0|Carlos Caszely']",['75&rsquor;|1:0|Bernd Hölzenbein|for Wolfgang Overath'],"['76&rsquor;|1:0|Leonardo Véliz|for Francisco Valdés', '83&rsquor;|1:0|Alfonso Lara|for Juan Rodríguez Vega']"
Germany DR,Australia,2,,,0,,,Georg Buschner,Bernd Bransch,Rale Rasic,Peter Wilson,17000,"Volksparkstadion, Hamburg",Youssou Ndiaye (Referee) · Pablo Sanchez Ibanez (AR1) · Omar Delgado (AR2),First round,1974-06-14,2–0,Youssou Ndiaye,,Germany,1974,Joachim Streich · 72,,['72&rsquor;|2:0|Joachim Streich'],,Colin Curran (OG) · 58,,,,,,,,,,,,,,"['1&rsquor;|0:0|Siegmar Wätzlich', '1&rsquor;|0:0|Eberhard Vogel', '1&rsquor;|0:0|Gerd Kische']",,['55&rsquor;|0:0|Martin Hoffmann|for Wolfram Löwe'],
Zaire,Scotland,0,,,2,,,Blagoje Vidinic,Kidumu Mantantu,Willie Ormond,Billy Bremner,27000,"Westfalenstadion, Dortmund",Gerhard Schulenburg (Referee) · Tony Boskovic (AR1) · Hans Joachim Weyland (AR2),First round,1974-06-14,0–2,Gerhard Schulenburg,,Germany,1974,,Peter Lorimer · 26|Joe Jordan · 34,,"['26&rsquor;|0:1|Peter Lorimer', '34&rsquor;|0:2|Joe Jordan']",,,,,,,,,,,,,,,['40&rsquor;|0:2|Kidumu Mantantu'],['1&rsquor;|0:0|Jim Holton'],"['64&rsquor;|0:2|Kembo Uba Kembo|for Mayanga Maku', '78&rsquor;|0:2|Kibonge Mafu']",['75&rsquor;|0:2|Tommy Hutchison|for Kenny Dalglish']
Brazil,Yugoslavia,0,,,0,,,Mario Zagallo,Wilson da Silva Piazza,Miljan Miljanic,Dragan Džajić,62000,"Waldstadion, Frankfurt/Main",Ruedi Scheurer (Referee) · Vital Loraux (AR1) · Luis Pestarino (AR2),First round,1974-06-13,0–0,Ruedi Scheurer,,Germany,1974,,,,,,,,,,,,,,,,,,,,"['17&rsquor;|0:0|Branko Oblak', '49&rsquor;|0:0|Jovan Aćimović']",,
Brazil,Italy,4,,,1,,,Mario Zagallo,Carlos Alberto Torres,Ferruccio Valcareggi,Giacinto Facchetti,107412,"Estadio Azteca, Mexico City",Rudolf Gloeckner (Referee) · Ruedi Scheurer (AR1) · Norberto Angel Coerezza (AR2),Final,1970-06-21,4–1,Rudolf Gloeckner,,Mexico,1970,Pelé · 18|Gérson · 66|Jairzinho · 71|Carlos Alberto Torres · 86,Roberto Boninsegna · 37,"['18&rsquor;|1:0|Pelé', '66&rsquor;|2:1|Gérson', '71&rsquor;|3:1|Jairzinho', '86&rsquor;|4:1|Carlos Alberto Torres']",['37&rsquor;|1:1|Roberto Boninsegna'],,,,,,,,,,,,,,,['1&rsquor;|0:0|Rivellino'],['1&rsquor;|0:0|Tarcisio Burgnich'],,"['74&rsquor;|3:1|Antonio Juliano|for Mario Bertini', '84&rsquor;|3:1|Gianni Rivera']"
West Germany,Uruguay,1,,,0,,,Helmut Schoen,Uwe Seeler,Juan Hohberg,Luis Ubiña,104403,"Estadio Azteca, Mexico City",Antonio Sbardella (Referee) · Ferdinand Marschall (AR1) · Abel Aguilar Elizalde (AR2),Third-place match,1970-06-20,1–0,Antonio Sbardella,,Mexico,1970,Wolfgang Overath · 26,,['26&rsquor;|1:0|Wolfgang Overath'],,,,,,,,,,,,,,,,"['1&rsquor;|0:0|Max Lorenz', '1&rsquor;|0:0|Hannes Löhr']","['1&rsquor;|0:0|Dagoberto Fontes', '1&rsquor;|0:0|Luis Ubiña', '1&rsquor;|0:0|Julio Montero Castillo']","['46&rsquor;|1:0|Max Lorenz', '73&rsquor;|1:0|Hannes Löhr|for Reinhard Libuda']","['46&rsquor;|1:0|Víctor Espárrago|for Dagoberto Fontes', '67&rsquor;|1:0|Rodolfo Sandoval|for Ildo Maneiro']"
Italy,West Germany,4,,,3,,,Ferruccio Valcareggi,Giacinto Facchetti,Helmut Schoen,Uwe Seeler,102444,"Estadio Azteca, Mexico City",Arturo Yamasaki Maldonado (Referee) · Rafael Hormazabal Diaz (AR1) · Guillermo Velasquez (AR2),Semi-finals,1970-06-17,4–3,Arturo Yamasaki Maldonado,Required Extra Time,Mexico,1970,Roberto Boninsegna · 8|Tarcisio Burgnich · 98|Luigi Riva · 104|Gianni Rivera · 111,Karl-Heinz Schnellinger · 90|Gerd Müller · 94|Gerd Müller · 110,"['8&rsquor;|1:0|Roberto Boninsegna', '98&rsquor;|2:2|Tarcisio Burgnich', '104&rsquor;|3:2|Luigi Riva', '111&rsquor;|4:3|Gianni Rivera']","['90&rsquor;|1:1|Karl-Heinz Schnellinger', '94&rsquor;|1:2|Gerd Müller', '110&rsquor;|3:3|Gerd Müller']",,,,,,,,,,,,,,,"['1&rsquor;|0:0|Roberto Rosato', '1&rsquor;|0:0|Angelo Domenghini', '1&rsquor;|0:0|Giancarlo De Sisti']","['1&rsquor;|0:0|Wolfgang Overath', '1&rsquor;|0:0|Gerd Müller']","['46&rsquor;|1:0|Gianni Rivera|for Sandro Mazzola', '91&rsquor;|1:1|Fabrizio Poletti|for Roberto Rosato']","['53&rsquor;|1:0|Reinhard Libuda', '66&rsquor;|1:0|Sigfried Held|for Bernd Patzke']"
Brazil,Uruguay,3,,,1,,,Mario Zagallo,Carlos Alberto Torres,Juan Hohberg,Luis Ubiña,51261,"Jalisco, Guadalajara",Jose Maria Ortiz De Mendibil (Referee) · Tofik Bakhramov (AR1) · Ferdinand Marschall (AR2),Semi-finals,1970-06-17,3–1,Jose Maria Ortiz De Mendibil,,Mexico,1970,Clodoaldo · 44|Jairzinho · 76|Rivellino · 89,Luis Cubilla · 19,"['44&rsquor;|1:1|Clodoaldo', '76&rsquor;|2:1|Jairzinho', '89&rsquor;|3:1|Rivellino']",['19&rsquor;|0:1|Luis Cubilla'],,,,,,,,,,,,,,,['1&rsquor;|0:0|Carlos Alberto Torres'],"['1&rsquor;|0:0|Ildo Maneiro', '1&rsquor;|0:0|Juan Mujica', '1&rsquor;|0:0|Dagoberto Fontes']",,['77&rsquor;|2:1|Víctor Espárrago|for Ildo Maneiro']
Brazil,Peru,4,,,2,,,Mario Zagallo,Carlos Alberto Torres,Didi,Héctor Chumpitaz,54233,"Jalisco, Guadalajara",Vital Loraux (Referee) · Ferdinand Marschall (AR1) · Gyula Emsberger (AR2),Quarter-finals,1970-06-14,4–2,Vital Loraux,,Mexico,1970,Rivellino · 11|Tostão · 15|Tostão · 52|Jairzinho · 75,Alberto Gallardo · 28|Teófilo Cubillas · 70,"['11&rsquor;|1:0|Rivellino', '15&rsquor;|2:0|Tostão', '52&rsquor;|3:1|Tostão', '75&rsquor;|4:2|Jairzinho']","['28&rsquor;|2:1|Alberto Gallardo', '70&rsquor;|3:2|Teófilo Cubillas']",,,,,,,,,,,,,,,,,"['67&rsquor;|3:1|Paulo Cézar Caju', '80&rsquor;|4:2|Roberto Miranda|for Jairzinho']","['54&rsquor;|3:1|Hugo Sotil|for Julio Baylón', '61&rsquor;|3:1|Eladio Reyes|for Pedro Pablo León']"
Italy,Mexico,4,,,1,,,Ferruccio Valcareggi,Giacinto Facchetti,Raul Cardenas,Gustavo Peña,26851,"Luis Dosal, Toluca",Ruedi Scheurer (Referee) · Keith Dunstan (AR1) · Henry Landauer (AR2),Quarter-finals,1970-06-14,4–1,Ruedi Scheurer,,Mexico,1970,Luigi Riva · 63|Gianni Rivera · 70|Luigi Riva · 76,José Luis González Dávila · 13,"['63&rsquor;|2:1|Luigi Riva', '70&rsquor;|3:1|Gianni Rivera', '76&rsquor;|4:1|Luigi Riva']",['13&rsquor;|0:1|José Luis González Dávila'],Javier Guzmán (OG) · 25,,,,,,,,,,,,,,['1&rsquor;|0:0|Gianni Rivera'],,"['46&rsquor;|1:1|Gianni Rivera|for Sandro Mazzola', '84&rsquor;|4:1|Sergio Gori|for Angelo Domenghini']","['60&rsquor;|1:1|Isidoro Díaz|for Antonio Munguía', '68&rsquor;|2:1|Enrique Borja']"
Uruguay,Soviet Union,1,,,0,,,Juan Hohberg,Luis Ubiña,Gavril Kachalin,Albert Shesternyov,26085,"Estadio Azteca, Mexico City",Laurens Van Ravens (Referee) · Bob Davidson (AR1) · Rudolf Gloeckner (AR2),Quarter-finals,1970-06-14,1–0,Laurens Van Ravens,Required Extra Time,Mexico,1970,Víctor Espárrago · 117,,['117&rsquor;|1:0|Víctor Espárrago'],,,,,,,,,,,,,,,,,['1&rsquor;|0:0|Anatoliy Byshovets'],"['96&rsquor;|0:0|Alberto Gómez|for Julio Morales', '103&rsquor;|0:0|Víctor Espárrago|for Dagoberto Fontes']","['71&rsquor;|0:0|Nikolay Kiselyov|for Kakhi Asatiani', '86&rsquor;|0:0|Gennady Logofet|for Murtaz Khurtsilava']"
West Germany,England,3,,,2,,,Helmut Schoen,Uwe Seeler,Alf Ramsey,Bobby Moore,23357,"Nou Camp - Estadio Leï¿½n, Leon",Norberto Angel Coerezza (Referee) · Guillermo Velasquez (AR1) · Jose Maria Ortiz De Mendibil (AR2),Quarter-finals,1970-06-14,3–2,Norberto Angel Coerezza,Required Extra Time,Mexico,1970,Franz Beckenbauer · 68|Uwe Seeler · 82|Gerd Müller · 108,Alan Mullery · 31|Martin Peters · 49,"['68&rsquor;|1:2|Franz Beckenbauer', '82&rsquor;|2:2|Uwe Seeler', '108&rsquor;|3:2|Gerd Müller']","['31&rsquor;|0:1|Alan Mullery', '49&rsquor;|0:2|Martin Peters']",,,,,,,,,,,,,,,['1&rsquor;|0:0|Gerd Müller'],['1&rsquor;|0:0|Francis Lee'],"['45&rsquor;|0:1|Willi Schulz|for Horst-Dieter Höttges', '55&rsquor;|0:2|Jürgen Grabowski|for Reinhard Libuda']","['70&rsquor;|1:2|Colin Bell|for Bobby Charlton', '81&rsquor;|1:2|Norman Hunter|for Martin Peters']"
Mexico,Belgium,1,,,0,,,Raul Cardenas,Gustavo Peña,Raymond Goethals,Paul Van Himst,108192,"Estadio Azteca, Mexico City",Norberto Angel Coerezza (Referee) · Henry Landauer (AR1) · Rafael Hormazabal Diaz (AR2),Group stage,1970-06-11,1–0,Norberto Angel Coerezza,,Mexico,1970,,,,,,,Gustavo Peña (P) · 14,,,,,,,,,,,,"['1&rsquor;|0:0|Javier Valdivia', '1&rsquor;|0:0|Gustavo Peña']","['1&rsquor;|0:0|Jean Thissen', '1&rsquor;|0:0|Paul Van Himst']",['46&rsquor;|1:0|Juan Ignacio Basaguren|for Javier Valdivia'],['65&rsquor;|1:0|Johan Devrindt|for Odilon Polleunis']
Italy,Israel,0,,,0,,,Ferruccio Valcareggi,Giacinto Facchetti,Emmanuel Sheffer,Mordechai Spiegler,9890,"Luis Dosal, Toluca",Ayrton Vieira De Moraes (Referee) · Seyoum Tarekegn (AR1) · Kurt Tschenscher (AR2),Group stage,1970-06-11,0–0,Ayrton Vieira De Moraes,,Mexico,1970,,,,,,,,,,,,,,,,,,,['90&rsquor;|0:0|Roberto Boninsegna'],"['62&rsquor;|0:0|David Primo', '67&rsquor;|0:0|Menachem Bello']",['46&rsquor;|0:0|Gianni Rivera|for Angelo Domenghini'],['46&rsquor;|0:0|Dani Shmulevich-Rom|for Yehoshua Feigenbaum']
Bulgaria,Morocco,1,,,1,,,Stefan Bozhkov,Aleksandar Shalamanov,Blagoje Vidinic,Driss Bamous,12299,"Nou Camp - Estadio Leï¿½n, Leon",Antonio Saldanha Ribeiro (Referee) · Tofik Bakhramov (AR1) · Laurens Van Ravens (AR2),Group stage,1970-06-11,1–1,Antonio Saldanha Ribeiro,,Mexico,1970,Dobromir Zhechev · 40,Maouhoub Ghazouani · 61,['40&rsquor;|1:0|Dobromir Zhechev'],['61&rsquor;|1:1|Maouhoub Ghazouani'],,,,,,,,,,,,,,,,,"['42&rsquor;|1:0|Ivan Dimitrov|for Dimitar Penev', '50&rsquor;|1:0|Hristo Bonev|for Dimitar Yakimov']","['46&rsquor;|1:0|Moustapha Choukri|for Driss Bamous', '74&rsquor;|1:1|Ahmed Faras']"
England,Czechoslovakia,1,,,0,,,Alf Ramsey,Bobby Moore,Jozef Marko,Ivo Viktor,49292,"Jalisco, Guadalajara",Roger Machin (Referee) · Gyula Emsberger (AR1) · Ferdinand Marschall (AR2),Group stage,1970-06-11,1–0,Roger Machin,,Mexico,1970,,,,,,,Allan Clarke (P) · 50,,,,,,,,,,,,,['1&rsquor;|0:0|Karol Dobiaš'],"['65&rsquor;|1:0|Alan Ball Jr.|for Bobby Charlton', '65&rsquor;|1:0|Peter Osgood|for Jeff Astle']",['72&rsquor;|1:0|Karol Jokl|for Jozef Čapkovič']
West Germany,Peru,3,,,1,,,Helmut Schoen,Uwe Seeler,Didi,Héctor Chumpitaz,17875,"Nou Camp - Estadio Leï¿½n, Leon",Abel Aguilar Elizalde (Referee) · Jose Maria Ortiz De Mendibil (AR1) · Antonio Sbardella (AR2),Group stage,1970-06-10,3–1,Abel Aguilar Elizalde,,Mexico,1970,Gerd Müller · 19|Gerd Müller · 26|Gerd Müller · 39,Teófilo Cubillas · 44,"['19&rsquor;|1:0|Gerd Müller', '26&rsquor;|2:0|Gerd Müller', '39&rsquor;|3:0|Gerd Müller']",['44&rsquor;|3:1|Teófilo Cubillas'],,,,,,,,,,,,,,,,,"['46&rsquor;|3:1|Bernd Patzke|for Horst-Dieter Höttges', '75&rsquor;|3:1|Jürgen Grabowski|for Reinhard Libuda']","['56&rsquor;|3:1|Oswaldo Ramírez|for Pedro Pablo León', '72&rsquor;|3:1|Luis Cruzado']"
